[2024-03-04 00:59:34,846] : Round: 66, Max accuracy: 0.00%, Current accuracy: 53.07%
[2024-03-04 00:59:55,354] : Round: 67, Max accuracy: 0.00%, Current accuracy: 55.09%
[2024-03-04 00:59:57,213] : Round: 68, Max accuracy: 0.00%, Current accuracy: 54.69%
[2024-03-04 01:00:19,027] : Round: 69, Max accuracy: 0.00%, Current accuracy: 55.02%
[2024-03-04 01:00:21,196] : Round: 70, Max accuracy: 0.00%, Current accuracy: 57.16%
[2024-03-04 01:00:23,266] : Round: 71, Max accuracy: 0.00%, Current accuracy: 57.11%
[2024-03-04 01:00:47,356] : Round: 72, Max accuracy: 0.00%, Current accuracy: 55.13%
[2024-03-04 01:00:51,430] : Round: 73, Max accuracy: 0.00%, Current accuracy: 56.43%
[2024-03-04 01:00:53,284] : Round: 74, Max accuracy: 0.00%, Current accuracy: 56.11%
[2024-03-04 01:01:09,158] : Round: 75, Max accuracy: 0.00%, Current accuracy: 51.53%
[2024-03-04 01:01:13,024] : Round: 76, Max accuracy: 0.00%, Current accuracy: 51.55%
[2024-03-04 01:01:24,250] : Round: 77, Max accuracy: 0.00%, Current accuracy: 52.29%
[2024-03-04 01:01:31,845] : Round: 78, Max accuracy: 0.00%, Current accuracy: 51.00%
[2024-03-04 01:01:36,966] : Round: 79, Max accuracy: 0.00%, Current accuracy: 51.91%
[2024-03-04 01:01:53,882] : Round: 80, Max accuracy: 0.00%, Current accuracy: 53.80%
[2024-03-04 01:01:55,940] : Round: 81, Max accuracy: 0.00%, Current accuracy: 53.76%
[2024-03-04 01:01:58,574] : Round: 82, Max accuracy: 0.00%, Current accuracy: 52.97%
[2024-03-04 01:02:13,825] : Round: 83, Max accuracy: 0.00%, Current accuracy: 57.47%
[2024-03-04 01:02:22,586] : Round: 84, Max accuracy: 0.00%, Current accuracy: 56.56%
[2024-03-04 01:02:24,537] : Round: 85, Max accuracy: 0.00%, Current accuracy: 55.17%
[2024-03-04 01:02:47,253] : Round: 86, Max accuracy: 0.00%, Current accuracy: 56.22%
[2024-03-04 01:02:49,053] : Round: 87, Max accuracy: 0.00%, Current accuracy: 56.15%
[2024-03-04 01:02:50,935] : Round: 88, Max accuracy: 0.00%, Current accuracy: 51.67%
[2024-03-04 01:03:10,006] : Round: 89, Max accuracy: 0.00%, Current accuracy: 54.10%
[2024-03-04 01:03:13,143] : Round: 90, Max accuracy: 0.00%, Current accuracy: 53.53%
[2024-03-04 01:03:32,569] : Round: 91, Max accuracy: 0.00%, Current accuracy: 52.50%
[2024-03-04 01:03:35,215] : Round: 92, Max accuracy: 0.00%, Current accuracy: 52.57%
[2024-03-04 01:03:41,859] : Round: 93, Max accuracy: 0.00%, Current accuracy: 52.59%
